Region,Decade,Age_Bin,dbh_shape,dbh_scale,ht_shape,ht_scale
Auckland,1930s,13,7.2566632033561245,0.4232915668942806,16.017187895329513,0.626804933318929
Auckland,1930s,19,5.077732805381242,0.4301852868796915,10.274674924085156,0.6500702173090643
Auckland,1940s,19,4.223859262137471,0.40535557713567605,10.400585400558313,0.7248838783459801
Auckland,1950s,7,14.702100176685057,0.3763219600012432,20.762522825925018,0.6092453381933995
Auckland,1950s,10,5.610073307941147,0.4281705739130315,11.698273913333239,0.6705551816371598
Auckland,1950s,13,4.254419777411213,0.42270494407220927,11.111271463403535,0.7390643878517493
Auckland,1950s,15,4.182510523122765,0.36476910117380096,9.163901738130807,0.5896032982119863
Auckland,1950s,16,5.593792119132637,0.45600227090813317,10.267507057805158,0.7286114422009425
Auckland,1950s,18,5.6151285874097585,0.38870821046954085,12.225939279587497,0.6847117372743071
Auckland,1950s,19,4.100869462029875,0.41077329074576097,5.297393814126166,0.6426974374747392
Auckland,1950s,20,4.566444904760175,0.4306991130981407,11.082156115961396,0.6591440607082721
Auckland,1950s,21,5.757781859735186,0.42464955441812413,11.749978006437889,0.7111819674582169
Auckland,1950s,22,3.676791848164915,0.41990059456889295,4.866203104107456,0.657881005396042
Auckland,1950s,23,5.443222774180439,0.45705862541783504,11.599543551755865,0.6956615149944192
Auckland,1950s,25,3.690841860971627,0.38919617403043316,7.828259274723081,0.7354789823485457
Auckland,1950s,26,5.075153655341197,0.45503400669731997,11.384465055507679,0.7023981220395279
Auckland,1950s,34,6.254332190768578,0.694626895467614,14.281417480951028,0.7596956468154894
Auckland,1950s,37,5.157054781561996,0.7829228094267733,12.991582663036482,0.8455664134432213
Auckland,1960s,6,3.165574374555451,0.45582484790128375,4.282148538195908,0.5178005617012598
Auckland,1960s,7,2.9573108591097386,0.4110225410390032,4.268285525543062,0.6309889220705779
Auckland,1960s,8,3.4301506752520683,0.38575035520587786,5.253699225210208,0.6341720799328117
Auckland,1960s,9,4.341181103595191,0.4179693425235634,11.344537943042742,0.5540703227033724
Auckland,1960s,11,4.624208419018937,0.40195207299713615,12.108749075638782,0.5371952248490958
Auckland,1960s,12,7.442953065003284,0.39760324271376474,13.647754432584712,0.6408080358835051
Auckland,1960s,13,4.64999602555253,0.4160643326856579,12.325603291260167,0.66373258293863
Auckland,1960s,14,8.895076184407472,0.4462933151131867,12.999013496701515,0.7002036113649872
Auckland,1960s,15,5.241141838902358,0.3850831323590018,13.139868231253036,0.6010631156697868
Auckland,1960s,16,5.080873113321724,0.4049235686994157,9.4487159206222735,0.6958360128407417
Auckland,1960s,18,4.700771201010735,0.39256776725160114,8.574989319203178,0.6816413084916026
Auckland,1960s,19,3.0547573394603935,0.34686934692252264,5.704820899046903,0.63607165757071
Auckland,1960s,20,3.9947877137568844,0.37168598240092277,7.007383011451544,0.6260624753464894
Auckland,1960s,21,4.421785089588438,0.40984151346881403,6.844334347016619,0.71109498342417
Auckland,1960s,22,5.009508780352531,0.44504456289833916,8.835639543439097,0.6865410746101703
Auckland,1960s,23,5.128013012973141,0.43762035027510277,10.147549897803913,0.6920864881871577
Auckland,1960s,24,4.745412185475971,0.4223121659518422,9.552907438522436,0.6530300091327461
Auckland,1960s,25,4.725188302477639,0.45772193296905916,7.527073445612439,0.7089639825033993
Auckland,1960s,26,3.4233027523306294,0.38173225652602627,5.7275977962112545,0.6140036375715026
Auckland,1960s,27,5.256799854602517,0.4915481962671987,7.998549996680563,0.7561517475634127
Auckland,1960s,28,5.730116852046933,0.49333064721045883,12.763029292141397,0.716109443548397
Auckland,1960s,29,4.216898233492282,0.42607084999340833,5.828661887058285,0.635856956639951
Auckland,1960s,30,5.537878674713733,0.5980249004435046,12.59651110166062,0.7458688646975359
Auckland,1960s,31,4.4951674334886444,0.4605406860247552,6.861326410258263,0.6446227361768604
Auckland,1960s,32,5.049796474249209,0.5028707772702361,11.362131455008726,0.7936314995867042
Auckland,1960s,33,5.5008505119828595,0.5340428723555288,15.00431330425669,0.5938613387618872
Auckland,1960s,34,6.697456659478412,0.6898107224109137,15.281819177249897,0.8076354508945375
Auckland,1960s,35,4.912556706809154,0.5412497250228223,13.007588669090719,0.8692951700316078
Auckland,1960s,36,6.6003492079028385,0.7343367441365771,14.029743684266826,0.8336717838212279
Auckland,1960s,37,6.641818220724682,0.7311850823084889,13.016610922629019,0.8868213295905835
Auckland,1970s,3,3.40313546852459,0.39921158672166435,5.116152283768546,0.5627173406011814
Auckland,1970s,4,2.9949744613022045,0.5040533210278633,4.160472936332091,0.5122370725192797
Auckland,1970s,5,3.7272436491851995,0.4613010902597451,4.47588569850014,0.49810438201372675
Auckland,1970s,6,1.8372227931731466,0.36093549634904587,2.506124631432595,0.39027584123027226
Auckland,1970s,7,1.996187751447665,0.35729580487814383,2.350749203401527,0.48004598729140124
Auckland,1970s,8,3.5651471828221504,0.4245028523869452,5.339503490523146,0.5768617798227125
Auckland,1970s,9,3.373257306172002,0.3440893675507461,3.6257373614462676,0.5184354965280313
Auckland,1970s,10,4.6192460500014265,0.40559404043012043,6.3115693427715716,0.6505740291414837
Auckland,1970s,11,4.429969480636644,0.39662468121530087,5.507378076346621,0.5469532603347764
Auckland,1970s,12,3.3983309370197703,0.4081229848595739,4.959379432007221,0.5961493030609788
Auckland,1970s,13,4.209537060625844,0.4562226677860266,6.754522175044536,0.729083238404882
Auckland,1970s,14,4.981000740962726,0.48329135088883424,7.644114423557678,0.7388138081720658
Auckland,1970s,15,5.58649912147742,0.4738255846733183,6.686967688099673,0.6758106877976092
Auckland,1970s,16,4.878471901817115,0.46334221533424147,7.566193850452084,0.7375348128350903
Auckland,1970s,17,5.274954329708847,0.45347251479580286,9.070616519606721,0.7151072032947215
Auckland,1970s,18,6.016084429930712,0.456098154268492,9.444188974795072,0.7410080854095141
Auckland,1970s,19,5.184126494915594,0.4492122897475638,9.777146358094372,0.7396742959938858
Auckland,1970s,20,5.763347411227878,0.4594208120545244,6.620822759493783,0.6688252644614429
Auckland,1970s,21,5.842791741290108,0.4468639377771622,9.288868368101106,0.7360416071946102
Auckland,1970s,22,5.444065841866876,0.49397085852286965,11.507286056410372,0.6958673449841286
Auckland,1970s,23,6.480671454442678,0.43852876887430325,11.520240868181986,0.7020826947508764
Auckland,1970s,24,5.910709126412295,0.45824279759567665,5.999646921981842,0.6438291473657682
Auckland,1970s,25,6.303745531917878,0.46477216392657866,11.012931276443483,0.6749361689540363
Auckland,1970s,26,4.401496625945027,0.3659640099805533,6.25719375047473,0.5818974273772703
Auckland,1970s,27,5.522279739073036,0.45115747811144064,6.111245567980747,0.6383190346208379
Auckland,1970s,28,4.284724950853631,0.45656490697763236,7.621466917236089,0.6650613235567165
Auckland,1970s,29,4.994467148755745,0.480167668413786,8.08878117799607,0.6863486235854309
Auckland,1970s,30,5.099707474041325,0.5399021450105965,9.656566615825044,0.6637276497505358
Auckland,1970s,31,4.4093195460209005,0.47935838152125443,6.202461868676975,0.6902746971108772
Auckland,1970s,32,5.902618929902782,0.5199258413447443,13.983324286477064,0.7762287529293568
Auckland,1970s,33,4.6654934921047015,0.6321226800540534,8.187093802123588,0.7417278285530691
Auckland,1970s,34,3.809788999628168,0.5843737607484687,5.489441002002117,0.7386444777003613
Auckland,1970s,35,4.841432486699729,0.5839618422751983,7.245722017031337,0.7604132658689293
Auckland,1970s,36,5.238390482392991,0.6593133760291798,10.066225114658014,0.7647257421801241
